denuncia_id,fecha,comuna,motivo_denuncia,rubro
1999,2019-01-02,11,Garantía de Bienes. Art 11  Ley 24.240 - Falta de suministro de partes y accesorios,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2000,2019-01-02,11,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2001,2019-01-02,11,Prácticas Abusivas - Venta Engañosa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2002,2019-01-02,11,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2003,2019-01-02,11,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2004,2019-01-03,11,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
2005,2019-01-03,11,Falta de Información,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2006,2019-01-03,11,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2008,2019-01-04,4,Entrega Defectuosa - Producto dañado,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
2009,2019-01-04,4,Prácticas Abusivas - Venta  Engañosa,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2011,2019-01-04,4,Falta de Entrega del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2012,2019-01-04,4,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
2013,2019-01-04,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"Servicios turísticos hoteles, hosterías, albergues, etc."
2014,2019-01-04,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"Servicios turísticos hoteles, hosterías, albergues, etc."
2015,2019-01-04,11,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
2016,2019-01-04,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SALUD
2017,2019-01-04,4,Problemas con la devolución del bien o el reembolso de sumas - Restricciones abusivas en las modalidades de devolución o reembolso,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
2018,2019-01-04,4,Cláusulas abusivas o no convenidas,TELEFONÍA Y REDES
2019,2019-01-04,4,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - Problemas con la devolución del bien o el reembolso de sumas - restricciones abusivas en las modalidades de devolución o reembolso,ALIMENTOS Y BEBIDAS
2020,2019-01-04,11,Demora en la entrega del bien,MUEBLES
